id;scenario_id;region;input_energy_vector;output_energy_vector;parameter_name;technology;technology_type;value;unit;tags;method;source;comment;year
1;58;["BB"];air;electricity;added capacity;wind turbine;onshore;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
2;58;["BB"];air;electricity;capacity;wind turbine;onshore;5.70003;GW;;"{""value"": ""aggregated""}";urbs;;2016
3;58;["BB"];biogas;electricity;added capacity;generator;combustion engine;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
4;58;["BB"];biogas;electricity;capacity;generator;combustion engine;0.264;GW;;"{""value"": ""aggregated""}";urbs;;2016
5;58;["BB"];biomass;electricity;added capacity;generator;steam;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
6;58;["BB"];biomass;electricity;capacity;generator;steam;0.428;GW;;"{""value"": ""aggregated""}";urbs;;2016
7;58;["BB"];light oil;electricity;added capacity;chp;gas;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
8;58;["BB"];light oil;electricity;capacity;chp;gas;0.00021;GW;;"{""value"": ""aggregated""}";urbs;;2016
9;58;["BB"];light oil;electricity;added capacity;generator;gas;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
10;58;["BB"];light oil;electricity;capacity;generator;gas;0.03791;GW;;"{""value"": ""aggregated""}";urbs;;2016
11;58;["BB"];lignite;electricity;added capacity;chp;steam;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
12;58;["BB"];lignite;electricity;capacity;chp;steam;4.596;GW;;"{""value"": ""aggregated""}";urbs;;2016
13;58;["BB"];natural gas;electricity;added capacity;chp;combined cycle;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
14;58;["BB"];natural gas;electricity;capacity;chp;combined cycle;0.19093;GW;;"{""value"": ""aggregated""}";urbs;;2016
15;58;["BB"];natural gas;electricity;added capacity;chp;combustion engine;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
16;58;["BB"];natural gas;electricity;capacity;chp;combustion engine;0.0512;GW;;"{""value"": ""aggregated""}";urbs;;2016
17;58;["BB"];natural gas;electricity;added capacity;chp;gas;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
18;58;["BB"];natural gas;electricity;capacity;chp;gas;0.0464;GW;;"{""value"": ""aggregated""}";urbs;;2016
19;58;["BB"];natural gas;electricity;added capacity;generator;combined cycle;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
20;58;["BB"];natural gas;electricity;capacity;generator;combined cycle;0.24431;GW;;"{""value"": ""aggregated""}";urbs;;2016
21;58;["BB"];natural gas;electricity;added capacity;generator;combustion engine;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
22;58;["BB"];natural gas;electricity;capacity;generator;combustion engine;0.00772;GW;;"{""value"": ""aggregated""}";urbs;;2016
23;58;["BB"];natural gas;electricity;added capacity;generator;gas;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
24;58;["BB"];natural gas;electricity;capacity;generator;gas;0.3302;GW;;"{""value"": ""aggregated""}";urbs;;2016
25;58;["BB"];solar radiation;electricity;added capacity;photovoltaics;rooftop;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
26;58;["BB"];solar radiation;electricity;capacity;photovoltaics;rooftop;0.29597;GW;;"{""value"": ""aggregated""}";urbs;;2016
27;58;["BB"];solar radiation;electricity;added capacity;photovoltaics;utility;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
28;58;["BB"];solar radiation;electricity;capacity;photovoltaics;utility;2.4402;GW;;"{""value"": ""aggregated""}";urbs;;2016
29;58;["BB"];waste;electricity;added capacity;chp;steam;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
30;58;["BB"];waste;electricity;capacity;chp;steam;0.1612;GW;;"{""value"": ""aggregated""}";urbs;;2016
31;58;["BB"];waste;electricity;added capacity;generator;steam;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
32;58;["BB"];waste;electricity;capacity;generator;steam;0.0036;GW;;"{""value"": ""aggregated""}";urbs;;2016
33;58;["BB"];water;electricity;added capacity;hydro turbine;run-of-river;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
34;58;["BB"];water;electricity;capacity;hydro turbine;run-of-river;0.00358;GW;;"{""value"": ""aggregated""}";urbs;;2016
35;58;["BB"];air;electricity;electricity generation;wind turbine;onshore;8060.653812;GWh;;"{""value"": ""aggregated""}";urbs;;2016
36;58;["BB"];air;electricity;primary energy consumption;wind turbine;onshore;8060653.812;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
37;58;["BB"];biogas;electricity;electricity generation;generator;combustion engine;1010.877521;GWh;;"{""value"": ""aggregated""}";urbs;;2016
38;58;["BB"];biogas;electricity;primary energy consumption;generator;combustion engine;2406851.241;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
39;58;["BB"];biomass;electricity;electricity generation;generator;steam;1470.43568;GWh;;"{""value"": ""aggregated""}";urbs;;2016
40;58;["BB"];biomass;electricity;primary energy consumption;generator;steam;9802904.532;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
41;58;["BB"];lignite;electricity;electricity generation;chp;steam;38341.72994;GWh;;"{""value"": ""aggregated""}";urbs;;2016
42;58;["BB"];lignite;electricity;emissions;chp;steam;0.03263126;Gt/a;;"{""value"": ""aggregated""}";urbs;;2016
43;58;["BB"];lignite;electricity;primary energy consumption;chp;steam;81578148.82;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
44;58;["BB"];natural gas;electricity;electricity generation;generator;combined cycle;54.07752457;GWh;;"{""value"": ""aggregated""}";urbs;;2016
45;58;["BB"];natural gas;electricity;emissions;generator;combined cycle;1.86E-05;Gt/a;;"{""value"": ""aggregated""}";urbs;;2016
46;58;["BB"];natural gas;electricity;primary energy consumption;generator;combined cycle;93237.11132;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
47;58;["BB"];solar radiation;electricity;electricity generation;photovoltaics;rooftop;315.7514509;GWh;;"{""value"": ""aggregated""}";urbs;;2016
48;58;["BB"];solar radiation;electricity;primary energy consumption;photovoltaics;rooftop;315751.4509;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
49;58;["BB"];solar radiation;electricity;electricity generation;photovoltaics;utility;2603.293207;GWh;;"{""value"": ""aggregated""}";urbs;;2016
50;58;["BB"];solar radiation;electricity;primary energy consumption;photovoltaics;utility;2603293.207;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
51;58;["BB"];waste;electricity;electricity generation;generator;steam;0.885600823;GWh;;"{""value"": ""aggregated""}";urbs;;2016
52;58;["BB"];waste;electricity;emissions;generator;steam;1.04E-06;Gt/a;;"{""value"": ""aggregated""}";urbs;;2016
53;58;["BB"];waste;electricity;primary energy consumption;generator;steam;3162.860081;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
54;58;["BB"];water;electricity;electricity generation;hydro turbine;run-of-river;15.68558828;GWh;;"{""value"": ""aggregated""}";urbs;;2016
55;58;["BB"];water;electricity;primary energy consumption;hydro turbine;run-of-river;15685.58828;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
56;58;["BB"];electricity;electricity;input energy;storage;all;12.31801135;GWh;;"{""value"": ""aggregated""}";urbs;;2016
57;58;["BB"];electricity;electricity;output energy;storage;all;11.70950159;GWh;;"{""value"": ""aggregated""}";urbs;;2016
58;58;["BB"];electricity;electricity;losses;storage;all;0.608509761;GWh;;"{""value"": ""aggregated""}";urbs;;2016
59;58;["BB", "BE"];electricity;electricity;energy flow;transmission;HVAC;10714.97877;GWh;;"{""value"": ""aggregated""}";urbs;;2016
60;58;["BB", "SN"];electricity;electricity;energy flow;transmission;HVAC;8506.328637;GWh;;"{""value"": ""aggregated""}";urbs;;2016
61;58;["BB", "ST"];electricity;electricity;energy flow;transmission;HVAC;8952.30101;GWh;;"{""value"": ""aggregated""}";urbs;;2016
62;58;["BB", "BE"];electricity;electricity;losses;transmission;HVAC;321449.3632;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
63;58;["BB", "MV"];electricity;electricity;losses;transmission;HVAC;9727.510684;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
64;58;["BB", "SN"];electricity;electricity;losses;transmission;HVAC;255530.7647;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
65;58;["BB", "ST"];electricity;electricity;losses;transmission;HVAC;271041.4907;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
66;58;["BE"];air;electricity;added capacity;wind turbine;onshore;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
67;58;["BE"];air;electricity;capacity;wind turbine;onshore;0.011;GW;;"{""value"": ""aggregated""}";urbs;;2016
68;58;["BE"];biogas;electricity;added capacity;generator;combustion engine;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
69;58;["BE"];biogas;electricity;capacity;generator;combustion engine;0.001;GW;;"{""value"": ""aggregated""}";urbs;;2016
70;58;["BE"];biomass;electricity;added capacity;generator;steam;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
71;58;["BE"];biomass;electricity;capacity;generator;steam;0.045;GW;;"{""value"": ""aggregated""}";urbs;;2016
72;58;["BE"];hard coal;electricity;added capacity;chp;steam;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
73;58;["BE"];hard coal;electricity;capacity;chp;steam;0.7865;GW;;"{""value"": ""aggregated""}";urbs;;2016
74;58;["BE"];heat;electricity;added capacity;geothermal;unknown;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
75;58;["BE"];heat;electricity;capacity;geothermal;unknown;4.50E-06;GW;;"{""value"": ""aggregated""}";urbs;;2016
76;58;["BE"];light oil;electricity;added capacity;chp;gas;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
77;58;["BE"];light oil;electricity;capacity;chp;gas;0.27657;GW;;"{""value"": ""aggregated""}";urbs;;2016
78;58;["BE"];light oil;electricity;added capacity;generator;gas;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
79;58;["BE"];light oil;electricity;capacity;generator;gas;0.12143;GW;;"{""value"": ""aggregated""}";urbs;;2016
80;58;["BE"];natural gas;electricity;added capacity;chp;combined cycle;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
81;58;["BE"];natural gas;electricity;capacity;chp;combined cycle;0.17937;GW;;"{""value"": ""aggregated""}";urbs;;2016
82;58;["BE"];natural gas;electricity;added capacity;chp;combustion engine;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
83;58;["BE"];natural gas;electricity;capacity;chp;combustion engine;0.04658;GW;;"{""value"": ""aggregated""}";urbs;;2016
84;58;["BE"];natural gas;electricity;added capacity;chp;gas;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
85;58;["BE"];natural gas;electricity;capacity;chp;gas;0.50292;GW;;"{""value"": ""aggregated""}";urbs;;2016
86;58;["BE"];natural gas;electricity;added capacity;generator;combustion engine;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
87;58;["BE"];natural gas;electricity;capacity;generator;combustion engine;0.0012;GW;;"{""value"": ""aggregated""}";urbs;;2016
88;58;["BE"];natural gas;electricity;added capacity;generator;gas;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
89;58;["BE"];natural gas;electricity;capacity;generator;gas;0.00418;GW;;"{""value"": ""aggregated""}";urbs;;2016
90;58;["BE"];solar radiation;electricity;added capacity;photovoltaics;rooftop;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
91;58;["BE"];solar radiation;electricity;capacity;photovoltaics;rooftop;0.0428;GW;;"{""value"": ""aggregated""}";urbs;;2016
92;58;["BE"];solar radiation;electricity;added capacity;photovoltaics;utility;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
93;58;["BE"];solar radiation;electricity;capacity;photovoltaics;utility;0.04219;GW;;"{""value"": ""aggregated""}";urbs;;2016
94;58;["BE"];waste;electricity;added capacity;generator;steam;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
95;58;["BE"];waste;electricity;capacity;generator;steam;0.0067;GW;;"{""value"": ""aggregated""}";urbs;;2016
96;58;["BE"];air;electricity;electricity generation;wind turbine;onshore;11.81447918;GWh;;"{""value"": ""aggregated""}";urbs;;2016
97;58;["BE"];air;electricity;primary energy consumption;wind turbine;onshore;11814.47918;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
98;58;["BE"];biomass;electricity;electricity generation;generator;steam;4.178561182;GWh;;"{""value"": ""aggregated""}";urbs;;2016
99;58;["BE"];biomass;electricity;primary energy consumption;generator;steam;27857.07454;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
100;58;["BE"];hard coal;electricity;electricity generation;chp;steam;2571.759419;GWh;;"{""value"": ""aggregated""}";urbs;;2016
101;58;["BE"];hard coal;electricity;emissions;chp;steam;0.001784486;Gt/a;;"{""value"": ""aggregated""}";urbs;;2016
102;58;["BE"];hard coal;electricity;primary energy consumption;chp;steam;5248488.61;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
103;58;["BE"];heat;electricity;electricity generation;geothermal;unknown;0.039528;GWh;;"{""value"": ""aggregated""}";urbs;;2016
104;58;["BE"];heat;electricity;primary energy consumption;geothermal;unknown;171.8608696;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
105;58;["BE"];natural gas;electricity;electricity generation;chp;combined cycle;0.063103329;GWh;;"{""value"": ""aggregated""}";urbs;;2016
106;58;["BE"];natural gas;electricity;emissions;chp;combined cycle;2.52E-08;Gt/a;;"{""value"": ""aggregated""}";urbs;;2016
107;58;["BE"];natural gas;electricity;primary energy consumption;chp;combined cycle;126.2066575;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
108;58;["BE"];solar radiation;electricity;electricity generation;photovoltaics;rooftop;45.4470088;GWh;;"{""value"": ""aggregated""}";urbs;;2016
109;58;["BE"];solar radiation;electricity;primary energy consumption;photovoltaics;rooftop;45447.0088;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
110;58;["BE"];solar radiation;electricity;electricity generation;photovoltaics;utility;44.79928274;GWh;;"{""value"": ""aggregated""}";urbs;;2016
111;58;["BE"];solar radiation;electricity;primary energy consumption;photovoltaics;utility;44799.28274;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
112;58;["BE"];waste;electricity;electricity generation;generator;steam;3.404977967;GWh;;"{""value"": ""aggregated""}";urbs;;2016
113;58;["BE"];waste;electricity;emissions;generator;steam;4.01E-06;Gt/a;;"{""value"": ""aggregated""}";urbs;;2016
114;58;["BE"];waste;electricity;primary energy consumption;generator;steam;12160.6356;MWh/a;;"{""value"": ""aggregated""}";urbs;;2016
115;58;["BE"];electricity;electricity;input energy;storage;all;2.24561478;GWh;;"{""value"": ""aggregated""}";urbs;;2016
116;58;["BE"];electricity;electricity;output energy;storage;all;2.134681409;GWh;;"{""value"": ""aggregated""}";urbs;;2016
117;58;["BE"];electricity;electricity;losses;storage;all;0.11093337;GWh;;"{""value"": ""aggregated""}";urbs;;2016
118;58;["BW"];air;electricity;added capacity;wind turbine;onshore;0;GW;;"{""value"": ""aggregated""}";urbs;;2016
119;58;["BW"];air;electricity;capacity;wind turbine;onshore;0.75103;GW;;"{""value"": ""aggregated""}";urbs;;2016
