id;scenario_id;region;input_energy_vector;output_energy_vector;parameter_name;technology;technology_type;value;unit;tags;method;source;comment;year
1;58;["BB"];air;electricity;added capacity;wind turbine;onshore;5.92E-13;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
2;58;["BB"];air;electricity;capacity;wind turbine;onshore;5.70003375;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
3;58;["BB"];biogas;electricity;added capacity;generator;combustion engine;8.34E-15;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
4;58;["BB"];biogas;electricity;capacity;generator;combustion engine;0.264;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
5;58;["BB"];biomass;electricity;added capacity;generator;steam;2.86E-15;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
6;58;["BB"];biomass;electricity;capacity;generator;steam;0.428;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
7;58;["BB"];electricity;electricity;added capacity;electrolyser;alkaline;7.53E-12;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
8;58;["BB"];electricity;electricity;capacity;electrolyser;alkaline;7.53E-12;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
9;58;["BB"];heat;electricity;added capacity;geothermal;unknown;0.530764927;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
10;58;["BB"];heat;electricity;capacity;geothermal;unknown;0.530764927;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
11;58;["BB"];hydrogen;electricity;added capacity;generator;gas;3.84E-12;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
12;58;["BB"];hydrogen;electricity;capacity;generator;gas;3.84E-12;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
13;58;["BB"];light oil;electricity;added capacity;chp;gas;1.06E-14;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
14;58;["BB"];light oil;electricity;capacity;chp;gas;0.0002136;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
15;58;["BB"];light oil;electricity;added capacity;generator;gas;1.63E-13;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
16;58;["BB"];light oil;electricity;capacity;generator;gas;0.03790614;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
17;58;["BB"];lignite;electricity;added capacity;chp;steam;0;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
18;58;["BB"];lignite;electricity;capacity;chp;steam;1.5;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
19;58;["BB"];natural gas;electricity;added capacity;chp;combined cycle;5.58E-16;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
20;58;["BB"];natural gas;electricity;capacity;chp;combined cycle;0.1909274;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
21;58;["BB"];natural gas;electricity;added capacity;chp;combustion engine;3.17E-14;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
22;58;["BB"];natural gas;electricity;capacity;chp;combustion engine;0.05120375;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
23;58;["BB"];natural gas;electricity;added capacity;chp;gas;4.85E-16;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
24;58;["BB"];natural gas;electricity;capacity;chp;gas;0.0464045;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
25;58;["BB"];natural gas;electricity;added capacity;generator;combined cycle;1.36E-15;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
26;58;["BB"];natural gas;electricity;capacity;generator;combined cycle;0.24431;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
27;58;["BB"];natural gas;electricity;added capacity;generator;combustion engine;2.65E-14;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
28;58;["BB"];natural gas;electricity;capacity;generator;combustion engine;0.0077227;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
29;58;["BB"];natural gas;electricity;added capacity;generator;gas;4.28E-14;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
30;58;["BB"];natural gas;electricity;capacity;generator;gas;0.3302014;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
31;58;["BB"];solar radiation;electricity;added capacity;photovoltaics;rooftop;1.18938199;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
32;58;["BB"];solar radiation;electricity;capacity;photovoltaics;rooftop;1.485348863;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
33;58;["BB"];solar radiation;electricity;added capacity;photovoltaics;utility;9.806251002;GW;"{""scenario"": ""ID3""}";"{""value"": ""aggregated""}";urbs;;2030
